#,Category,Capability, User Story,Required?,Priority,Status,Frontend,Backend,Figma Links,Client comments
,Employee Operations,Track Leave Request Status,"As an Employee, I should be able to see tracking status of the leave request -
Pending Supervisor
Pending HR
Approved/Rejected",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26322&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Employee Operations,View Performance,"As an Employee, I should be able to view my latest performance review, including rating, review period, supervisor comments, HR comments, and Growth & Feedback sections.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26325&t=R5jBQYWFVqPl0hxK-4,
,Communnication,,,,,,,,,
,Message,View Chat List,"As an Employee, I should be able to view chat list with
- Contacts
- Message previews
- Timestamps
- Unread counts.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26323&t=R5jBQYWFVqPl0hxK-4,
,Message,Search Contacts,"As an Employee, I should be able to search contacts.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-26323&t=R5jBQYWFVqPl0hxK-4,
,Message,Send Message,"As an Employee, I should be able to open chat conversation with message thread and send messages.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2294-35941&t=R5jBQYWFVqPl0hxK-4,
,Timesheets,,,,,,,,,
,Audit Timesheets > Conversion Audits,Conversion audits,"As a provider, I should be able to move non converted audits to convert audit as billable
- By selecting date range",Yes,Must Have,Removed,8,8,,
,Audit Timesheets > Conversion Audits,Mismatches,"As a provider, I hsould be able to view and update conversion mismatches",Yes,Must Have,Removed,8,8,,
,Audit Timesheets > Conversion Audits,Overlapping Timesheets,"As a provider, I should be able to view overlapping time sheets",Yes,Must Have,Removed,4,4,,
,Audit Billing Entries,Find Duplicates,"As a provider, I should be able to view and remove the duplictaes for the timesheets",Yes,Must Have,Removed,4,4,,
,Overlapping Timesheet,Remove overlapping Timesheet,"As a provider, I should be able to remove overlapping timesheet",Yes,Must Have,Removed,4,4,,
,Timesheets > Add New,Timesheet,"As a provider, I should be able to add new timesheet including details
- Client name
- Provider
- Date of service",Yes,Must Have,Removed,8,8,,
,Timesheets > Drafts,List,"As a provider, I should be able to get a list of drafted timesheets (incomplete timesheets or entries/ Not ready for billing)",Yes,Must Have,Removed,4,4,,
,Timesheets > Drafts,Filter,"As a provider, I should be able to apply the date filter with exceptions and without the exception (errors)",Yes,Must Have,Removed,4,4,,
,Timesheets > Drafts,Filters > Signature & Audits,"As a provider, I should be able to apply filters to sort the list of drafted timesheets
- Date range
- With & Without exceptions (errors)
- Signatures and Audits",Yes,Must Have,Removed,4,8,,
,Timesheets > Drafts,Filter > Signature,"As a provider, I should be able to apply signature filter to sort drafted timesheets as per the signature of 
- Signatre by provider
- Signatre by client",Yes,Must Have,Removed,4,8,,
,Timesheets > Drafts,Exceptions,"As a provider, I should be able to view the number and description of exceptions/ Errors",Yes,Must Have,Removed,4,4,,
